zenith,angle_of_incidence,shortwave_radiation_backwards_sfc,low_zenith,radiation_temp_interaction,humidity_temp_ratio,relative_humidity_2_m_above_gnd,total_cloud_cover_sfc,total_cloud_all_layers,low_cloud_cover_low_cld_lay,medium_cloud_cover_mid_cld_lay,temperature_2_m_above_gnd,wind_speed_80_m_above_gnd,mean_sea_level_pressure_MSL,high_cloud_cover_high_cld_lay,wind_gust_10_m_above_gnd,total_precip,avg_wind_speed,total_precipitation_sfc,wind_speed_900_mb,generated_power_kw
83.237322,58.753108,0.0,0,0.0,0.11259625163446171,31,0.0,0,0,0,2.17,9.36,1035.0,0,24.48,0.0,7.45,0.0,6.62,454.10095
75.143041,45.408585,1.78,0,4.111800000000001,0.09801786103245481,27,0.0,0,0,0,2.31,5.99,1035.1,0,21.96,0.0,5.25,0.0,4.61,1411.9994
68.820648,32.848282,108.58,0,396.317,0.11921965317919077,33,0.0,0,0,0,3.65,3.89,1035.4,0,14.04,0.0,4.11,0.0,3.76,2214.8493
64.883536,22.699288,258.1,0,1502.1420000000003,0.1075384449940854,30,0.0,0,0,0,5.82,3.55,1035.4,0,19.8,0.0,3.41,0.0,3.08,2527.6092
63.795208,19.199908,375.58,0,2903.2334,0.0961264596980917,27,0.0,0,0,0,7.73,6.76,1034.4,0,16.56,0.0,6.53,0.0,6.62,2640.2034
65.70086,25.088167,449.45,0,3905.7205,0.102895259721828,29,0.0,0,0,0,8.69,7.1,1034.6,0,17.28,0.0,6.7700000000000005,0.0,6.92,2546.0816
70.351498,36.197514,469.92,0,4567.6224,0.09545020680878141,27,0.0,0,0,0,9.72,6.61,1034.0,0,12.96,0.0,6.336666666666667,0.0,6.44,2270.3207
77.228779,49.073008,436.99,0,4400.4893,0.09886307464162136,28,0.0,0,0,0,10.07,7.63,1034.1,0,10.8,0.0,7.406666666666666,0.0,7.52,1063.8302
85.585411,62.37114,353.33,0,3314.2354,0.11326230842742364,32,0.0,0,0,0,9.38,10.5,1033.9,0,11.52,0.0,10.020000000000001,0.0,10.14,86.817611
121.46318,105.86656,228.73,0,1495.8942,0.1680431906753906,47,0.0,0,0,0,6.54,12.25,1035.1,0,12.24,0.0,10.566666666666668,0.0,11.53,9.6666667
83.242237,58.845824,0.0,0,0.0,0.08716812552210075,24,0.9,3,0,0,2.18,5.77,1038.5,3,19.08,0.0,5.076666666666667,0.0,2.31,513.90842
75.128751,45.485379,2.67,0,6.4347,0.09072434315575555,25,1.8,6,0,0,2.41,5.04,1038.4,6,18.36,0.0,4.8933333333333335,0.0,1.94,1076.7197
68.783811,32.896851,113.92,0,479.6032,0.11897894433227577,33,0.0,0,0,0,4.21,3.6,1039.3,0,16.92,0.0,4.01,0.0,1.94,1018.7148
64.819803,22.691118,255.43,0,1762.467,0.12854847348687737,36,0.0,0,0,0,6.9,4.58,1039.0,0,15.48,0.0,4.29,0.0,4.33,2307.0852
63.706944,19.107739,380.03,0,3530.478699999999,0.10621724968134826,30,0.9,3,0,0,9.29,7.9,1037.6,3,15.84,0.0,7.536666666666666,0.0,8.22,2261.3353
65.591365,24.953054,400.5,0,4749.929999999999,0.09122486930283148,26,100.0,200,0,100,11.86,6.3,1036.5,100,9.72,0.0,6.096666666666667,0.0,6.3,1706.41
70.227766,36.063181,415.63,0,5182.9061,0.09103003991317135,26,100.0,200,0,100,12.47,9.69,1036.5,100,10.08,0.0,9.496666666666664,0.0,9.69,1385.8102
77.097036,48.947246,387.15,0,4641.9285,0.10521147506488042,30,100.0,200,0,100,11.99,11.38,1036.7,100,11.88,0.0,11.196666666666667,0.0,11.38,547.77553
85.381751,62.1479,333.75,0,3778.05,0.11600520265757375,33,100.0,200,0,100,11.32,11.63,1036.5,100,12.6,0.0,11.396666666666668,0.0,11.63,61.566961
83.267328,58.9765,0.0,0,0.0,0.1263902932254803,35,0.0,0,0,0,3.77,12.72,1039.1,0,7.2,0.0,10.653333333333334,0.0,12.25,419.20845
75.107523,45.55898,2.67,0,10.7067,0.1298888728532256,36,38.0,38,0,38,4.01,14.01,1039.6,0,7.56,0.0,11.563333333333333,0.0,13.85,1371.9036
68.737737,32.941458,111.25,0,740.9250000000001,0.12151102533862264,34,62.0,62,0,62,6.66,12.48,1039.7,0,7.56,0.0,10.123333333333333,0.0,12.48,2154.5695
64.748514,22.67679,256.32,0,2381.2128,0.141622999575131,40,49.0,49,0,49,9.29,9.96,1038.3,0,5.76,0.0,7.7200000000000015,0.0,10.23,2456.0311
63.610054,19.004469,369.35,0,4528.231,0.11562313864265444,33,29.0,29,0,29,12.26,5.69,1037.5,0,5.76,0.0,5.406666666666667,0.0,5.69,2536.1985
65.474867,24.813234,441.44,0,6078.6287999999995,0.10455876202425765,30,5.1,17,0,0,13.77,6.16,1036.6,17,6.12,0.0,5.9433333333333325,0.0,6.16,2462.3889
70.097733,35.926593,461.02,0,6652.518599999999,0.1043187982474442,30,2.1,7,0,0,14.43,8.28,1036.6,7,7.92,0.0,8.049999999999999,0.0,8.28,2202.6894
76.959788,48.820772,430.76,0,6280.4808,0.10426441455531228,30,5.1,17,0,0,14.58,10.08,1036.4,17,10.08,0.0,9.723333333333334,0.0,10.08,1046.8986
85.32007,62.14581,352.44,0,4948.2576,0.11142449249625684,32,2.4,8,0,0,14.04,10.44,1036.6,8,11.16,0.0,10.083333333333334,0.0,10.44,88.940216
